placename,year_month,sampling_days
BCAM1,2022-12,10
BCAM1,2023-01,31
BCAM1,2023-02,28
BCAM1,2023-03,10
BCAM1,2023-09,7
BCAM1,2023-10,31
BCAM1,2023-11,4
BCAM1,2024-01,19
BCAM1,2024-02,10
BCAM1,2024-03,23
BCAM1,2024-04,30
BCAM1,2024-05,31
BCAM1,2024-06,30
BCAM1,2024-07,31
BCAM1,2024-08,31
BCAM1,2024-09,30
BCAM1,2024-10,31
BCAM1,2024-11,30
BCAM1,2024-12,31
BCAM1,2025-01,31
BCAM1,2025-02,28
BCAM1,2025-03,31
BCAM1,2025-04,25
BCAM10,2023-11,26
BCAM10,2023-12,21
BCAM11,2023-09,26
BCAM11,2023-10,27
BCAM11,2023-11,30
BCAM11,2023-12,31
BCAM11,2024-01,31
BCAM11,2024-02,29
BCAM11,2024-03,31
BCAM11,2024-04,30
BCAM11,2024-05,31
BCAM11,2024-06,30
BCAM11,2024-07,31
BCAM11,2024-08,31
BCAM11,2024-09,30
BCAM11,2024-10,31
BCAM11,2024-11,30
BCAM11,2024-12,31
BCAM11,2025-01,31
BCAM11,2025-02,28
BCAM11,2025-03,15
BCAM12,2024-01,19
BCAM12,2024-02,10
BCAM12,2024-03,23
BCAM12,2024-04,30
BCAM13,2023-09,25
BCAM13,2023-10,31
BCAM13,2023-11,5
BCAM13,2023-12,11
BCAM13,2024-01,31
BCAM13,2024-02,29
BCAM13,2024-03,31
BCAM13,2024-04,30
BCAM13,2024-05,29
BCAM13,2024-06,30
BCAM13,2024-07,31
BCAM13,2024-08,31
BCAM13,2024-09,30
BCAM13,2024-10,31
BCAM13,2024-11,30
BCAM13,2024-12,31
BCAM13,2025-01,31
BCAM13,2025-02,28
BCAM13,2025-03,21
BCAM13,2025-04,25
BCAM14,2023-09,26
BCAM14,2023-10,20
BCAM14,2024-05,28
BCAM14,2024-06,30
BCAM14,2024-07,31
BCAM14,2024-08,31
BCAM14,2024-09,30
BCAM14,2024-10,31
BCAM14,2024-11,30
BCAM14,2024-12,21
BCAM15,2024-12,12
BCAM15,2025-01,31
BCAM15,2025-02,28
BCAM15,2025-03,15
BCAM16,2024-12,12
BCAM16,2025-01,4
BCAM17,2024-12,12
BCAM17,2025-01,4
BCAM18,2024-12,12
BCAM18,2025-01,31
BCAM18,2025-02,28
BCAM18,2025-03,14
BCAM2,2022-12,11
BCAM2,2023-01,31
BCAM2,2023-02,28
BCAM2,2023-03,13
BCAM22,2024-12,12
BCAM22,2025-01,31
BCAM22,2025-02,16
BCAM23,2024-12,11
BCAM23,2025-01,31
BCAM23,2025-02,28
BCAM23,2025-03,15
BCAM24,2025-01,28
BCAM24,2025-02,28
BCAM24,2025-03,15
BCAM25,2025-01,28
BCAM25,2025-02,16
BCAM26,2023-09,12
BCAM26,2023-10,31
BCAM26,2023-11,4
BCAM26,2024-09,25
BCAM26,2024-10,31
BCAM26,2024-11,30
BCAM26,2024-12,20
BCAM26,2025-01,31
BCAM26,2025-02,28
BCAM26,2025-03,15
BCAM3,2022-12,11
BCAM3,2023-01,31
BCAM3,2023-02,27
BCAM3,2023-09,26
BCAM3,2023-10,31
BCAM3,2023-11,30
BCAM3,2023-12,21
BCAM3,2024-01,19
BCAM3,2024-02,29
BCAM3,2024-03,28
BCAM3,2024-04,30
BCAM3,2024-05,24
BCAM3,2024-06,30
BCAM3,2024-07,31
BCAM3,2024-08,21
BCAM3,2024-09,25
BCAM3,2024-10,31
BCAM3,2024-11,30
BCAM3,2024-12,31
BCAM3,2025-01,31
BCAM3,2025-02,28
BCAM3,2025-03,31
BCAM3,2025-04,25
BCAM4,2022-12,11
BCAM4,2023-01,31
BCAM4,2023-02,28
BCAM4,2023-03,13
BCAM4,2023-09,26
BCAM4,2023-10,31
BCAM4,2023-11,30
BCAM4,2023-12,31
BCAM4,2024-01,31
BCAM4,2024-02,29
BCAM4,2024-03,31
BCAM4,2024-04,30
BCAM4,2024-05,31
BCAM4,2024-06,30
BCAM4,2024-07,31
BCAM4,2024-08,31
BCAM4,2024-09,30
BCAM4,2024-10,31
BCAM4,2024-11,30
BCAM4,2024-12,31
BCAM4,2025-01,18
BCAM4,2025-02,12
BCAM5,2022-12,10
BCAM5,2023-01,5
BCAM6,2022-12,10
BCAM6,2023-01,31
BCAM6,2023-02,28
BCAM6,2023-03,13
BCAM7,2024-09,25
BCAM7,2024-10,31
BCAM7,2024-11,30
BCAM7,2024-12,31
BCAM7,2025-01,31
BCAM7,2025-02,28
BCAM7,2025-03,31
BCAM7,2025-04,25
BCAM9,2023-09,26
BCAM9,2023-10,31
BCAM9,2023-11,11
BCAM9,2023-12,11
BCAM9,2024-01,31
BCAM9,2024-02,29
BCAM9,2024-03,31
BCAM9,2024-04,30
BCAM9,2024-05,31
BCAM9,2024-06,30
BCAM9,2024-07,31
BCAM9,2024-08,31
BCAM9,2024-09,30
BCAM9,2024-10,31
BCAM9,2024-11,30
BCAM9,2024-12,31
BCAM9,2025-01,31
BCAM9,2025-02,28
BCAM9,2025-03,15
CA_Beach_PointReyes_Loc03,2023-09,23
CA_Beach_PointReyes_Loc03,2023-10,15
CA_Beach_PointReyes_Loc03,2023-11,4
