SiteCode,year,yweek,adult,pup,weaner,non_pup_seals
DB,2022,49,168,0,0,168
DB,2022,50,259,0,0,259
DB,2022,51,121.5,2.5,0,121.5
DB,2022,52,219,4,0,219
DB,2023,1,393,34,0,393
DB,2023,2,542,102,1,543
DB,2023,3,960.5,300.5,0,960.5
DB,2023,4,1193.5,622.5,1,1194.5
DB,2023,5,1219,872,25.5,1244.5
DB,2023,6,1167,877,85,1252
DB,2023,7,699,568.5,436.5,1135.5
DB,2023,8,312,186,733,1045
DB,2023,9,152,43,888,1040
DB,2023,10,128,15,955,1083
DB,2023,13,201,0,603,804
DB,2023,14,1,0,158,159
DB,2023,15,887,0,275,1162
DB,2023,17,1145,0,185,1330
DB,2023,19,1581,0,53,1634
DB,2023,20,1564,0,0,1564
DB,2023,21,1238,0,0,1238
DB,2023,23,531,0,0,531
DB,2023,25,135,0,0,135
DB,2023,27,88,0,0,88
DB,2023,43,183,0,0,183
DB,2023,49,213,0,0,213
DB,2023,50,289,0,0,289
DB,2023,51,298,2,0,298
DB,2023,52,267,8,0,267
DB,2024,1,375.6666666666667,47.333333333333336,0,375.6666666666667
DB,2024,2,599.5,148,0,599.5
DB,2024,3,892.5,380.5,0,892.5
DB,2024,4,1136,649,9.5,1145.5
DB,2024,5,1131.5,815.5,74.5,1206
DB,2024,6,1000,664,240.5,1240.5
DB,2024,7,770,555,367,1137
DB,2024,8,462,285,594,1056
DB,2024,9,233,114,785,1018
DB,2024,10,109,17,870,979
DB,2024,11,55,10,599,654
DB,2024,13,125,3,456,581
DB,2024,15,1091,0,0,1091
DB,2024,18,1302,0,0,1302
DB,2024,19,1354,0,0,1354
DB,2024,20,58,0,0,58
DB,2024,23,649,0,0,649
DB,2024,24,337,0,0,337
DB,2024,26,130,0,0,130
DB,2024,30,110,0,1,111
DB,2024,40,399,0,0,399
DB,2024,42,362,0,0,362
DB,2024,44,322,0,0,322
DB,2024,50,204,0,0,204
DB,2024,51,215,1,0,215
DB,2024,52,215,5,0,215
DB,2025,2,602,164.5,0,602
DB,2025,3,829,331.5,2,831
DB,2025,4,1084,665,8,1092
DB,2025,5,1119,873.5,56.5,1175.5
DB,2025,6,918,716,215,1133
DB,2025,7,712.5,561.5,405.5,1118
DB,2025,8,365,216,746.5,1111.5
DB,2025,9,198,71.5,862,1060
DB,2025,10,109,14,950,1059
DB,2025,12,68,0,571,639
DB,2025,14,688,0,620,1308
DB,2025,15,32,0,65,97
DB,2025,16,1034,0,352,1386
DB,2025,18,1659,0,0,1659
DB,2025,20,1475,0,0,1475
DB,2025,22,820,0,0,820
DB,2025,24,384,0,0,384
DB,2025,27,67,0,0,67
DB,2025,29,78,0,0,78
DB,2025,30,92,0,0,92
SB,2022,49,1,0,0,1
SB,2022,50,7,0,0,7
SB,2022,51,13,0,0,13
SB,2022,52,16,0,0,16
SB,2023,1,24,1,0,24
SB,2023,2,48,7,0,48
SB,2023,3,59.5,22.5,0,59.5
SB,2023,4,69.5,33,0,69.5
SB,2023,5,75,44,1.5,76.5
SB,2023,6,67,42,10,77
SB,2023,7,39,24,24,63
SB,2023,8,24,10,40,64
SB,2023,9,17,0,47,64
SB,2023,10,13,0,52,65
SB,2023,50,2,0,0,2
SB,2023,51,10,0,0,10
SB,2024,1,28.333333333333332,4,0,28.333333333333332
SB,2024,2,30.5,6,0,30.5
SB,2024,3,49.5,15,0,49.5
SB,2024,4,72,34,2,74
SB,2024,5,74,45,4,78
SB,2024,6,72.5,48,9.5,82
SB,2024,7,56,34,19,75
SB,2024,8,44,17,37,81
SB,2024,9,17,4,52,69
SB,2024,10,17,1,65,82
SB,2024,51,11,0,0,11
SB,2024,52,19,0,0,19
SB,2025,2,31,7.5,0,31
SB,2025,3,43.5,12.5,0,43.5
SB,2025,4,54,30.5,0,54
SB,2025,5,56.5,36,2,58.5
SB,2025,6,51,37,7,58
SB,2025,7,45,29,15,60
SB,2025,8,31,13,27.5,58.5
SB,2025,9,18,3,43,61
SB,2025,10,16,0,39,55
