placename,year_month,common_name,n_detections,sampling_days
BCAM1,2024-08,American Badger,1,31
BCAM1,2024-08,Bobcat,6,31
BCAM1,2024-08,Coyote,1,31
BCAM1,2024-08,Domestic Dog,0,31
BCAM1,2024-08,Human,4,31
BCAM1,2024-08,Human-Camera Trapper,4,31
BCAM1,2024-08,Mule Deer,15,31
BCAM1,2024-08,North American River Otter,0,31
BCAM1,2024-08,Northern Elephant Seal,0,31
BCAM1,2024-08,Northern Raccoon,0,31
BCAM1,2024-08,Striped Skunk,0,31
BCAM1,2024-08,Brush Rabbit,0,31
BCAM1,2024-08,Californian Sea Lion,0,31
BCAM1,2024-08,Domestic Cattle,0,31
BCAM1,2024-08,Elk,0,31
BCAM1,2024-08,Black-tailed Jackrabbit,0,31
BCAM1,2023-09,American Badger,0,7
BCAM1,2023-09,Bobcat,1,7
BCAM1,2023-09,Coyote,0,7
BCAM1,2023-09,Domestic Dog,0,7
BCAM1,2023-09,Human,5,7
BCAM1,2023-09,Human-Camera Trapper,3,7
BCAM1,2023-09,Mule Deer,4,7
BCAM1,2023-09,North American River Otter,0,7
BCAM1,2023-09,Northern Elephant Seal,0,7
BCAM1,2023-09,Northern Raccoon,0,7
BCAM1,2023-09,Striped Skunk,0,7
BCAM1,2023-09,Brush Rabbit,0,7
BCAM1,2023-09,Californian Sea Lion,0,7
BCAM1,2023-09,Domestic Cattle,0,7
BCAM1,2023-09,Elk,0,7
BCAM1,2023-09,Black-tailed Jackrabbit,0,7
BCAM1,2023-10,American Badger,0,31
BCAM1,2023-10,Bobcat,5,31
BCAM1,2023-10,Coyote,2,31
BCAM1,2023-10,Domestic Dog,1,31
BCAM1,2023-10,Human,13,31
BCAM1,2023-10,Human-Camera Trapper,2,31
BCAM1,2023-10,Mule Deer,7,31
BCAM1,2023-10,North American River Otter,0,31
BCAM1,2023-10,Northern Elephant Seal,0,31
BCAM1,2023-10,Northern Raccoon,3,31
BCAM1,2023-10,Striped Skunk,0,31
BCAM1,2023-10,Brush Rabbit,0,31
BCAM1,2023-10,Californian Sea Lion,0,31
BCAM1,2023-10,Domestic Cattle,0,31
BCAM1,2023-10,Elk,0,31
BCAM1,2023-10,Black-tailed Jackrabbit,0,31
BCAM1,2024-04,American Badger,0,30
BCAM1,2024-04,Bobcat,1,30
BCAM1,2024-04,Coyote,6,30
BCAM1,2024-04,Domestic Dog,1,30
BCAM1,2024-04,Human,38,30
BCAM1,2024-04,Human-Camera Trapper,2,30
BCAM1,2024-04,Mule Deer,1,30
BCAM1,2024-04,North American River Otter,0,30
BCAM1,2024-04,Northern Elephant Seal,16,30
BCAM1,2024-04,Northern Raccoon,0,30
BCAM1,2024-04,Striped Skunk,0,30
BCAM1,2024-04,Brush Rabbit,0,30
BCAM1,2024-04,Californian Sea Lion,0,30
BCAM1,2024-04,Domestic Cattle,0,30
BCAM1,2024-04,Elk,0,30
BCAM1,2024-04,Black-tailed Jackrabbit,0,30
BCAM1,2024-05,American Badger,0,31
BCAM1,2024-05,Bobcat,10,31
BCAM1,2024-05,Coyote,3,31
BCAM1,2024-05,Domestic Dog,0,31
BCAM1,2024-05,Human,34,31
BCAM1,2024-05,Human-Camera Trapper,2,31
BCAM1,2024-05,Mule Deer,17,31
BCAM1,2024-05,North American River Otter,1,31
BCAM1,2024-05,Northern Elephant Seal,1,31
BCAM1,2024-05,Northern Raccoon,0,31
BCAM1,2024-05,Striped Skunk,0,31
BCAM1,2024-05,Brush Rabbit,0,31
BCAM1,2024-05,Californian Sea Lion,0,31
BCAM1,2024-05,Domestic Cattle,0,31
BCAM1,2024-05,Elk,0,31
BCAM1,2024-05,Black-tailed Jackrabbit,0,31
BCAM1,2024-06,American Badger,0,30
