placename,year_month,year,month,american_badger,bobcat,coyote,domestic_dog,human,human_camera_trapper,mule_deer,north_american_river_otter,northern_elephant_seal,northern_raccoon,striped_skunk,brush_rabbit,californian_sea_lion,domestic_cattle,elk,black_tailed_jackrabbit
BCAM1,2024-08,2024,08,0.03225806451612903,0.1935483870967742,0.03225806451612903,0,0,0,0.4838709677419355,0,0,0,0,0,0,0,0,0
BCAM1,2023-09,2023,09,0,0.14285714285714285,0,0,0.7142857142857143,0.42857142857142855,0.5714285714285714,0,0,0,0,0,0,0,0,0
BCAM1,2023-10,2023,10,0,0.16129032258064516,0.06451612903225806,0.03225806451612903,0.41935483870967744,0.06451612903225806,0.22580645161290322,0,0,0.0967741935483871,0,0,0,0,0,0
BCAM1,2024-04,2024,04,0,0.03333333333333333,0.1,0.03333333333333333,0,0,0.03333333333333333,0,0.16666666666666666,0,0,0,0,0,0,0
BCAM1,2024-05,2024,05,0,0.16129032258064516,0,0,0,0,0.2903225806451613,0,0.03225806451612903,0,0,0,0,0,0,0
BCAM1,2024-06,2024,06,0,0.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
BCAM1,2024-07,2024,07,0,0.3225806451612903,0.06451612903225806,0,0,0,0.2903225806451613,0,0,0,0,0,0,0,0,0
BCAM1,2024-09,2024,09,0,0.1,0,0,0.4666666666666667,0.03333333333333333,0.3333333333333333,0,0,0.03333333333333333,0,0,0,0,0,0
BCAM1,2024-11,2024,11,0,0.03333333333333333,0.03333333333333333,0,0.2,0.03333333333333333,0.3,0.06666666666666667,0,0.16666666666666666,0,0,0,0,0,0
BCAM1,2024-12,2024,12,0,0.03225806451612903,0.0967741935483871,0,0,0,0,0,0.06451612903225806,0.12903225806451613,0.03225806451612903,0,0,0,0,0
BCAM1,2022-12,2022,12,0,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0
BCAM1,2023-01,2023,01,0,0,0.0967741935483871,0,0,0,0,0,0.12903225806451613,0,0,0,0,0,0,0
BCAM1,2023-02,2023,02,0,0,0.07142857142857142,0,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,0
BCAM1,2023-03,2023,03,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0,0,0,0
BCAM1,2024-01,2024,01,0,0,0.3684210526315789,0,0,0,0,0,2.263157894736842,0,0,0,0,0,0,0
BCAM1,2024-02,2024,02,0,0,0.1,0,0,0,0,0,4.3,0,0,0,0,0,0,0
BCAM1,2024-03,2024,03,0,0,0.043478260869565216,0,0,0,0,0,7,0,0,0,0,0,0,0
BCAM1,2024-10,2024,10,0,0,0.0967741935483871,0,0.6451612903225806,0.06451612903225806,0.3870967741935484,0,0,0.0967741935483871,0,0,0,0,0,0
BCAM1,2025-01,2025,01,0,0,0.22580645161290322,0,0,0,0,0,0.3548387096774194,0,0,0,0,0,0,0
BCAM1,2025-02,2025,02,0,0,0.2857142857142857,0,0,0,0,0,0.9285714285714286,0,0,0,0,0,0,0
BCAM1,2023-11,2023,11,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
BCAM1,2025-03,2025,03,0,0,0,0,0,0,0,0,2.5161290322580645,0,0,0,0,0,0,0
BCAM10,2023-11,2023,11,0,0.3076923076923077,0.3076923076923077,0,0,0,0.07692307692307693,0,0,1.3461538461538463,0.2692307692307692,0,0,0,0,0
BCAM10,2023-12,2023,12,0,0.3333333333333333,0.42857142857142855,0,0,0,0.047619047619047616,0,0.6190476190476191,0.7619047619047619,0.047619047619047616,0.047619047619047616,0,0,0,0
BCAM11,2023-11,2023,11,0.03333333333333333,0.1,0.3,0,0,0.03333333333333333,0.43333333333333335,0,0,0.13333333333333333,0.1,0,0,0,0,0
BCAM11,2023-12,2023,12,0.03225806451612903,0.06451612903225806,0.12903225806451613,0,0,0,0.03225806451612903,0,0,0,0,0,0,0,0,0
BCAM11,2023-09,2023,09,0,0.07692307692307693,0.07692307692307693,0,0.038461538461538464,0.11538461538461539,0.6923076923076923,0,0,0.038461538461538464,0,0,0,0,0,0
BCAM11,2023-10,2023,10,0,0.1111111111111111,0.4074074074074074,0,0.14814814814814814,0.037037037037037035,0.5185185185185185,0,0,0,0,0,0,0,0,0
BCAM11,2024-01,2024,01,0,0.06451612903225806,1.4193548387096775,0,0,0,0,0,0,0,0.06451612903225806,0,0,0,0,0
BCAM11,2024-03,2024,03,0,0.03225806451612903,2.6774193548387095,0,0,0,0.06451612903225806,0,0,0,0,0,0,0,0,0
BCAM11,2024-05,2024,05,0,0.12903225806451613,0.41935483870967744,0,0,0,0.16129032258064516,0,0,0,0,0,0,0,0,0
BCAM11,2024-06,2024,06,0,0.1,0.13333333333333333,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0
