placename,year_month,year,month,common_name,n_detections,sampling_days,detection_rate
BCAM1,2024-08,2024,08,American Badger,1,32,0.03125
BCAM1,2024-08,2024,08,Bobcat,6,32,0.1875
BCAM1,2024-08,2024,08,Coyote,1,32,0.03125
BCAM1,2024-08,2024,08,Domestic Cattle,0,32,0
BCAM1,2024-08,2024,08,Domestic Dog,0,32,0
BCAM1,2024-08,2024,08,Human,4,32,0.125
BCAM1,2024-08,2024,08,Human-Camera Trapper,4,32,0.125
BCAM1,2024-08,2024,08,Mule Deer,15,32,0.46875
BCAM1,2024-08,2024,08,North American River Otter,0,32,0
BCAM1,2024-08,2024,08,Northern Elephant Seal,0,32,0
BCAM1,2024-08,2024,08,Northern Raccoon,0,32,0
BCAM1,2024-08,2024,08,Striped Skunk,0,32,0
BCAM1,2024-08,2024,08,Brush Rabbit,0,32,0
BCAM1,2024-08,2024,08,Californian Sea Lion,0,32,0
BCAM1,2024-08,2024,08,Elk,0,32,0
BCAM1,2024-08,2024,08,Black-tailed Jackrabbit,0,32,0
BCAM1,2024-08,2024,08,Human-Pedestrian,0,32,0
BCAM1,2023-09,2023,09,American Badger,0,7,0
BCAM1,2023-09,2023,09,Bobcat,1,7,0.14285714285714285
BCAM1,2023-09,2023,09,Coyote,0,7,0
BCAM1,2023-09,2023,09,Domestic Cattle,0,7,0
BCAM1,2023-09,2023,09,Domestic Dog,0,7,0
BCAM1,2023-09,2023,09,Human,5,7,0.7142857142857143
BCAM1,2023-09,2023,09,Human-Camera Trapper,3,7,0.42857142857142855
BCAM1,2023-09,2023,09,Mule Deer,4,7,0.5714285714285714
BCAM1,2023-09,2023,09,North American River Otter,0,7,0
BCAM1,2023-09,2023,09,Northern Elephant Seal,0,7,0
BCAM1,2023-09,2023,09,Northern Raccoon,0,7,0
BCAM1,2023-09,2023,09,Striped Skunk,0,7,0
BCAM1,2023-09,2023,09,Brush Rabbit,0,7,0
BCAM1,2023-09,2023,09,Californian Sea Lion,0,7,0
BCAM1,2023-09,2023,09,Elk,0,7,0
BCAM1,2023-09,2023,09,Black-tailed Jackrabbit,0,7,0
BCAM1,2023-09,2023,09,Human-Pedestrian,0,7,0
BCAM1,2023-10,2023,10,American Badger,0,32,0
BCAM1,2023-10,2023,10,Bobcat,5,32,0.15625
BCAM1,2023-10,2023,10,Coyote,2,32,0.0625
BCAM1,2023-10,2023,10,Domestic Cattle,0,32,0
BCAM1,2023-10,2023,10,Domestic Dog,1,32,0.03125
BCAM1,2023-10,2023,10,Human,13,32,0.40625
BCAM1,2023-10,2023,10,Human-Camera Trapper,2,32,0.0625
BCAM1,2023-10,2023,10,Mule Deer,7,32,0.21875
BCAM1,2023-10,2023,10,North American River Otter,0,32,0
BCAM1,2023-10,2023,10,Northern Elephant Seal,0,32,0
BCAM1,2023-10,2023,10,Northern Raccoon,3,32,0.09375
BCAM1,2023-10,2023,10,Striped Skunk,0,32,0
BCAM1,2023-10,2023,10,Brush Rabbit,0,32,0
BCAM1,2023-10,2023,10,Californian Sea Lion,0,32,0
BCAM1,2023-10,2023,10,Elk,0,32,0
BCAM1,2023-10,2023,10,Black-tailed Jackrabbit,0,32,0
BCAM1,2023-10,2023,10,Human-Pedestrian,0,32,0
BCAM1,2024-04,2024,04,American Badger,0,31,0
BCAM1,2024-04,2024,04,Bobcat,1,31,0.03225806451612903
BCAM1,2024-04,2024,04,Coyote,1,31,0.03225806451612903
BCAM1,2024-04,2024,04,Domestic Cattle,0,31,0
BCAM1,2024-04,2024,04,Domestic Dog,1,31,0.03225806451612903
BCAM1,2024-04,2024,04,Human,32,31,1.032258064516129
