placename,year_month,year,month,american_badger,bobcat,coyote,domestic_cattle,domestic_dog,human,human_camera_trapper,mule_deer,north_american_river_otter,northern_elephant_seal,northern_raccoon,striped_skunk,brush_rabbit,californian_sea_lion,elk,black_tailed_jackrabbit,human_pedestrian
BCAM1,2024-08,2024,08,0.03125,0.1875,0.03125,0,0,0.125,0.125,0.46875,0,0,0,0,0,0,0,0,0
BCAM1,2023-09,2023,09,0,0.14285714285714285,0,0,0,0.7142857142857143,0.42857142857142855,0.5714285714285714,0,0,0,0,0,0,0,0,0
BCAM1,2023-10,2023,10,0,0.15625,0.0625,0,0.03125,0.40625,0.0625,0.21875,0,0,0.09375,0,0,0,0,0,0
BCAM1,2024-04,2024,04,0,0.03225806451612903,0.03225806451612903,0,0.03225806451612903,1.032258064516129,0.06451612903225806,0.03225806451612903,0,0,0,0,0,0,0,0,0
BCAM1,2024-05,2024,05,0,0.15625,0,0,0,0.59375,0.0625,0.28125,0,0.03125,0,0,0,0,0,0,0
BCAM1,2024-06,2024,06,0,0.28125,0,0,0,0.5,0.09375,0.1875,0,0,0,0,0,0,0,0,0
BCAM1,2024-07,2024,07,0,0.3225806451612903,0.06451612903225806,0,0,0.45161290322580644,0,0.2903225806451613,0,0,0,0,0,0,0,0,0
BCAM1,2024-09,2024,09,0,0.0967741935483871,0,0,0,0.45161290322580644,0.06451612903225806,0.3225806451612903,0,0,0.03225806451612903,0,0,0,0,0,0
BCAM1,2024-11,2024,11,0,0.03225806451612903,0.03225806451612903,0,0,0.6451612903225806,0.06451612903225806,0.2903225806451613,0.06451612903225806,0,0.16129032258064516,0,0,0,0,0,0
BCAM1,2024-12,2024,12,0,0.03125,0.09375,0,0,0.625,0.09375,0,0,0.0625,0.125,0.03125,0,0,0,0,0
BCAM1,2022-12,2022,12,0,0,0.3,0,0,0.9,0.2,0,0,0.1,0,0,0,0,0,0,0
BCAM1,2023-01,2023,01,0,0,0.09375,0,0,0.3125,0,0,0,0.125,0,0,0,0,0,0,0
BCAM1,2023-02,2023,02,0,0,0.07142857142857142,0,0,0.32142857142857145,0,0,0,0.8571428571428571,0,0,0,0,0,0,0
BCAM1,2023-03,2023,03,0,0,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
