placename,year_week,sampling_days
BCAM1,2022-W51,4
BCAM1,2022-W52,7
BCAM1,2023-W01,7
BCAM1,2023-W02,7
BCAM1,2023-W03,7
BCAM1,2023-W04,7
BCAM1,2023-W05,7
BCAM1,2023-W06,7
BCAM1,2023-W07,7
BCAM1,2023-W08,7
BCAM1,2023-W09,7
BCAM1,2023-W10,5
BCAM1,2023-W38,1
BCAM1,2023-W39,7
BCAM1,2023-W40,7
BCAM1,2023-W41,7
BCAM1,2023-W42,7
BCAM1,2023-W43,7
BCAM1,2023-W44,6
BCAM1,2024-W02,2
BCAM1,2024-W03,7
BCAM1,2024-W04,7
BCAM1,2024-W05,7
BCAM1,2024-W06,6
BCAM1,2024-W10,2
BCAM1,2024-W11,7
BCAM1,2024-W12,7
BCAM1,2024-W13,7
BCAM1,2024-W14,7
BCAM1,2024-W15,7
BCAM1,2024-W16,7
BCAM1,2024-W17,7
BCAM1,2024-W18,7
BCAM1,2024-W19,7
BCAM1,2024-W20,7
BCAM1,2024-W21,7
BCAM1,2024-W22,7
BCAM1,2024-W23,7
BCAM1,2024-W24,7
BCAM1,2024-W25,7
BCAM1,2024-W26,7
BCAM1,2024-W27,7
BCAM1,2024-W28,7
BCAM1,2024-W29,7
BCAM1,2024-W30,7
BCAM1,2024-W31,7
BCAM1,2024-W32,7
BCAM1,2024-W33,7
BCAM1,2024-W34,7
BCAM1,2024-W35,7
BCAM1,2024-W36,7
BCAM1,2024-W37,7
BCAM1,2024-W38,7
BCAM1,2024-W39,7
BCAM1,2024-W40,7
BCAM1,2024-W41,7
BCAM1,2024-W42,7
BCAM1,2024-W43,7
BCAM1,2024-W44,7
BCAM1,2024-W45,7
BCAM1,2024-W46,7
BCAM1,2024-W47,7
BCAM1,2024-W48,7
BCAM1,2024-W49,7
BCAM1,2024-W50,7
BCAM1,2024-W51,7
BCAM1,2024-W52,7
BCAM1,2025-W01,7
BCAM1,2025-W02,7
BCAM1,2025-W03,7
BCAM1,2025-W04,7
BCAM1,2025-W05,7
BCAM1,2025-W06,7
BCAM1,2025-W07,7
BCAM1,2025-W08,7
BCAM1,2025-W09,7
BCAM1,2025-W10,7
BCAM1,2025-W11,7
BCAM1,2025-W12,7
BCAM1,2025-W13,7
BCAM1,2025-W14,7
BCAM1,2025-W15,7
BCAM1,2025-W16,7
BCAM1,2025-W17,5
BCAM10,2023-W44,1
BCAM10,2023-W45,7
BCAM10,2023-W46,7
BCAM10,2023-W47,7
BCAM10,2023-W48,7
BCAM10,2023-W49,7
BCAM10,2023-W50,7
BCAM10,2023-W51,4
BCAM11,2023-W36,6
BCAM11,2023-W37,7
BCAM11,2023-W38,7
BCAM11,2023-W39,7
BCAM11,2023-W40,7
BCAM11,2023-W41,7
BCAM11,2023-W42,4
BCAM11,2023-W43,6
BCAM11,2023-W44,7
BCAM11,2023-W45,7
BCAM11,2023-W46,7
BCAM11,2023-W47,7
BCAM11,2023-W48,7
BCAM11,2023-W49,7
BCAM11,2023-W50,7
BCAM11,2023-W51,7
BCAM11,2023-W52,7
BCAM11,2024-W01,7
BCAM11,2024-W02,7
BCAM11,2024-W03,7
BCAM11,2024-W04,7
BCAM11,2024-W05,7
BCAM11,2024-W06,7
BCAM11,2024-W07,7
BCAM11,2024-W08,7
BCAM11,2024-W09,7
BCAM11,2024-W10,7
BCAM11,2024-W11,7
BCAM11,2024-W12,7
BCAM11,2024-W13,7
BCAM11,2024-W14,7
BCAM11,2024-W15,7
BCAM11,2024-W16,7
BCAM11,2024-W17,7
BCAM11,2024-W18,7
BCAM11,2024-W19,7
BCAM11,2024-W20,7
BCAM11,2024-W21,7
BCAM11,2024-W22,7
BCAM11,2024-W23,7
BCAM11,2024-W24,7
BCAM11,2024-W25,7
BCAM11,2024-W26,7
BCAM11,2024-W27,7
BCAM11,2024-W28,7
BCAM11,2024-W29,7
BCAM11,2024-W30,7
BCAM11,2024-W31,7
BCAM11,2024-W32,7
BCAM11,2024-W33,7
BCAM11,2024-W34,7
BCAM11,2024-W35,7
BCAM11,2024-W36,7
BCAM11,2024-W37,7
BCAM11,2024-W38,7
BCAM11,2024-W39,7
BCAM11,2024-W40,7
BCAM11,2024-W41,7
BCAM11,2024-W42,7
BCAM11,2024-W43,7
BCAM11,2024-W44,7
BCAM11,2024-W45,7
BCAM11,2024-W46,7
BCAM11,2024-W47,7
BCAM11,2024-W48,7
BCAM11,2024-W49,7
BCAM11,2024-W50,7
BCAM11,2024-W51,7
BCAM11,2024-W52,7
BCAM11,2025-W01,7
BCAM11,2025-W02,7
BCAM11,2025-W03,7
BCAM11,2025-W04,7
BCAM11,2025-W05,7
BCAM11,2025-W06,7
BCAM11,2025-W07,7
BCAM11,2025-W08,7
BCAM11,2025-W09,7
BCAM11,2025-W10,7
BCAM11,2025-W11,6
BCAM12,2024-W02,2
BCAM12,2024-W03,7
BCAM12,2024-W04,7
BCAM12,2024-W05,7
BCAM12,2024-W06,6
BCAM12,2024-W10,2
BCAM12,2024-W11,7
BCAM12,2024-W12,7
BCAM12,2024-W13,7
BCAM12,2024-W14,7
BCAM12,2024-W15,7
BCAM12,2024-W16,7
BCAM12,2024-W17,7
BCAM12,2024-W18,2
BCAM13,2023-W36,5
BCAM13,2023-W37,7
BCAM13,2023-W38,7
BCAM13,2023-W39,7
BCAM13,2023-W40,7
BCAM13,2023-W41,7
BCAM13,2023-W42,7
BCAM13,2023-W43,7
BCAM13,2023-W44,7
BCAM13,2023-W51,4
BCAM13,2023-W52,7
BCAM13,2024-W01,7
BCAM13,2024-W02,7
BCAM13,2024-W03,7
BCAM13,2024-W04,7
BCAM13,2024-W05,7
BCAM13,2024-W06,7
BCAM13,2024-W07,7
BCAM13,2024-W08,7
BCAM13,2024-W09,7
BCAM13,2024-W10,7
BCAM13,2024-W11,7
BCAM13,2024-W12,7
BCAM13,2024-W13,7
BCAM13,2024-W14,7
BCAM13,2024-W15,7
BCAM13,2024-W16,7
BCAM13,2024-W17,7
BCAM13,2024-W18,5
BCAM13,2024-W19,7
BCAM13,2024-W20,7
BCAM13,2024-W21,7
BCAM13,2024-W22,7
BCAM13,2024-W23,7
BCAM13,2024-W24,7
BCAM13,2024-W25,7
BCAM13,2024-W26,7
BCAM13,2024-W27,7
BCAM13,2024-W28,7
BCAM13,2024-W29,7
BCAM13,2024-W30,7
BCAM13,2024-W31,7
BCAM13,2024-W32,7
BCAM13,2024-W33,7
BCAM13,2024-W34,7
BCAM13,2024-W35,7
BCAM13,2024-W36,7
BCAM13,2024-W37,7
BCAM13,2024-W38,7
BCAM13,2024-W39,7
BCAM13,2024-W40,7
BCAM13,2024-W41,7
BCAM13,2024-W42,7
BCAM13,2024-W43,7
BCAM13,2024-W44,7
BCAM13,2024-W45,7
BCAM13,2024-W46,7
BCAM13,2024-W47,7
BCAM13,2024-W48,7
BCAM13,2024-W49,7
BCAM13,2024-W50,7
BCAM13,2024-W51,7
BCAM13,2024-W52,7
BCAM13,2025-W01,7
BCAM13,2025-W02,7
BCAM13,2025-W03,7
BCAM13,2025-W04,7
BCAM13,2025-W05,7
BCAM13,2025-W06,7
BCAM13,2025-W07,7
BCAM13,2025-W08,7
BCAM13,2025-W09,7
BCAM13,2025-W10,7
BCAM13,2025-W11,6
BCAM13,2025-W13,5
BCAM13,2025-W14,7
BCAM13,2025-W15,7
BCAM13,2025-W16,7
BCAM13,2025-W17,5
BCAM14,2023-W36,6
BCAM14,2023-W37,7
BCAM14,2023-W38,7
BCAM14,2023-W39,7
BCAM14,2023-W40,7
BCAM14,2023-W41,7
BCAM14,2023-W42,5
BCAM14,2024-W18,2
BCAM14,2024-W19,7
BCAM14,2024-W20,7
BCAM14,2024-W21,7
BCAM14,2024-W22,7
BCAM14,2024-W23,7
BCAM14,2024-W24,7
BCAM14,2024-W25,7
BCAM14,2024-W26,7
BCAM14,2024-W27,7
BCAM14,2024-W28,7
BCAM14,2024-W29,7
BCAM14,2024-W30,7
BCAM14,2024-W31,7
BCAM14,2024-W32,7
BCAM14,2024-W33,7
BCAM14,2024-W34,7
BCAM14,2024-W35,7
BCAM14,2024-W36,7
BCAM14,2024-W37,7
BCAM14,2024-W38,7
BCAM14,2024-W39,7
BCAM14,2024-W40,7
BCAM14,2024-W41,7
BCAM14,2024-W42,7
BCAM14,2024-W43,7
BCAM14,2024-W44,7
BCAM14,2024-W45,7
BCAM14,2024-W46,7
BCAM14,2024-W47,7
BCAM14,2024-W48,7
BCAM14,2024-W49,7
BCAM14,2024-W50,7
BCAM14,2024-W51,6
BCAM15,2024-W51,3
BCAM15,2024-W52,7
BCAM15,2025-W01,7
BCAM15,2025-W02,7
BCAM15,2025-W03,7
BCAM15,2025-W04,7
BCAM15,2025-W05,7
BCAM15,2025-W06,7
BCAM15,2025-W07,7
BCAM15,2025-W08,7
