placename,latitude,longitude,beach,site_type,seal_sitecode,distance_from_parkinglot
BCAM1,38.02775,-122.96085,Drakes,seal,DB,78
BCAM10,38.01048,-122.98138,Drakes,seal,DB,2510
BCAM11,38.01613,-122.97707,Drakes,seal,DB,1794
BCAM12,38.03203,-122.93451,Drakes,non-seal,NA,2440
BCAM13,38.01058,-122.98123,Drakes,seal,DB,2492
BCAM14,38.0319,-122.9341,Drakes,non-seal,NA,2473
BCAM15,38.0747,-122.97626,PointReyes,non-seal,NA,207
BCAM16,38.05042,-122.98714,PointReyes,non-seal,NA,215
BCAM17,38.04206,-122.99123,PointReyes,non-seal,NA,646
BCAM18,38.03497,-122.99463,PointReyes,non-seal,NA,1486
BCAM19,38.0304,-122.99655,PointReyes,non-seal,NA,2018
BCAM2,38.03248,-122.93911,Drakes,non-seal,NA,2054
BCAM20,38.02209,-123.00067,PointReyes,non-seal,NA,3009
BCAM21,38.01369,-123.0043,PointReyes,non-seal,NA,3993
BCAM22,38.00703,-123.00743,PointReyes,seal,SB,4780
BCAM23,38.03175,-122.93501,Drakes,seal,DB,2388
BCAM24,38.0499,-122.98763,PointReyes,non-seal,NA,147
BCAM25,38.04232,-122.99122,PointReyes,non-seal,NA,622
BCAM26,38.03107,-122.95123,Drakes,seal,DB,994
BCAM27,38.03522,-122.99443,PointReyes,non-seal,NA,1455
BCAM3,38.03172,-122.9474,Drakes,seal,DB,1336
BCAM4,38.02161,-122.97129,Drakes,seal,DB,1014
BCAM5,38.01611,-122.97708,Drakes,seal,DB,1799
BCAM6,38.01076,-122.98118,Drakes,seal,DB,2473
BCAM7,38.0049,-122.98392,Drakes,seal,DB,3126
BCAM8,38.03502,-122.9406,Drakes,non-seal,NA,2027
BCAM9,38.03174,-122.93986,Drakes,non-seal,NA,1970
