Sample ID,Box,Collection Date,Latitude,Longitude
PR 1 ,1,19 Dec 22,38.046250,-122.972980
PR 8,1,19 Dec 22,38.022500,-122.972730
PR 11,1,19 Dec 22,38.021870,-122.971190
PR 18,1,19 Dec 22,38.017530,-122.978480
PR 19,1,19 Dec 22,38.016410,-122.977500
PR 23,1,19 Dec 22,38.010870,-122.981670
PR 25,1,20 Dec 22,38.031350,-122.950000
PR 27,1,20 Dec 22,38.031210,-122.950660
PR 30,1,20 Dec 22,38.028650,-122.961720
PR 31,1,20 Dec 22,37.997220,-122.981650
PR 34,1,20 Dec 22,37.996830,-122.980780
PR 37,1,28 Jan 23,38.029902,-122.961994
PR 38,1,28 Jan 23,38.029944,-122.956526
PR 39,1,28 Jan 23,38.030000,-122.956208
PR 49,1,29 Jan 23,37.99238,-122.97066
PR 50,1,29 Jan 23,37.99142,-122.96701
PR 51,1,29 Jan 23,37.99100,-122.96920
PR 53,1,29 Jan 23,37.99426,-122.97718
PR 54,1,29 Jan 23,37.99474,-122.97917
PR 55,1,12 May 23,37.90139,-122.71611
PR 56,1,12 May 23,38.05100,-122.98747
PR 60,1,5 Sept 23,38.03228,-122.93929
PR 61,1,5 Sept 23,38.02796,-122.95863
PR 63,1,5 Sept 23,38.02164,-122.97128
PR 65,1,5 Sept 23,38.08720,-122.93085
PR 66,1,24 Sept 23,38.03236,-122.93722
PR 67,1,24 Sept 23,38.02090,-122.97179
PR 69,1,24 Sept 23,38.01092,-122.98161
PR 70,1,24 Sept 23,38.01078,-122.98112
PR 71,1,24 Sept 23,38.01073,-122.98112
PR 73,1,24 Sept 23,38.01203,-122.98079
PR 74,1,24 Sept 23,38.01332,-122.97986
PR 75,1,24 Sept 23,38.01358,-122.97977
PR 77,1,24 Sept 23,38.02175,-122.97121
PR 80,1,24 Sept 23,38.02768,-122.96370
PR 81,1,24 Sept 23,38.02813,-122.96343
PR 82,1,24 Sept 23,38.02810,-122.96342
PR 85,1,24 Oct 23,38.03422,-122.9470423
