project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2006496,CA_Beach_PointReyes_Loc06_Dep02,CA_Beach_PointReyes_Loc06,-122.9607784,38.0278328,2023-10-24T00:00:00Z,2023-11-04T00:00:00Z,None,NA,Other,Beach Access Game Trail,2045044,0,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc01_Dep01,CA_Beach_PointReyes_Loc01,-122.9340918,38.0319005,2023-09-05T00:00:00Z,2023-10-20T00:00:00Z,None,NA,Other,Beach,2090705,FDG2,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc03_Dep01,CA_Beach_PointReyes_Loc03,-122.940551,38.0350203,2023-09-05T00:00:00Z,2023-09-20T00:00:00Z,None,NA,Trail game,Beach Access Game Trail,2090711,FDG5,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc03_Dep02,CA_Beach_PointReyes_Loc03,-122.940551,38.0350203,2023-09-24T00:00:00Z,2023-10-07T00:00:00Z,None,NA,Trail game,Beach Access Game Trail,2090711,FDG5,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc05_Dep01,CA_Beach_PointReyes_Loc05,-122.9511409,38.0310886,2023-09-05T00:00:00Z,2023-09-09T00:00:00Z,None,NA,Other,Beach,2090714,FDG4,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc06_Dep01,CA_Beach_PointReyes_Loc06,-122.9607784,38.0278328,2023-09-24T00:00:00Z,2023-10-24T00:00:00Z,None,NA,Trail game,Beach Access Game Trail,2045044,0,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc08_Dep01,CA_Beach_PointReyes_Loc08,-122.9771045,38.0161364,2023-09-05T00:00:00Z,2023-10-19T00:00:00Z,None,NA,Trail game,Beach Access Game Trail,2090716,FDG9,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc02_Dep01,CA_Beach_PointReyes_Loc02,-122.9398626,38.0317691,2023-09-05T00:00:00Z,2023-11-04T00:00:00Z,None,NA,None,Beach,2091304,FDG1,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc03_Dep03,CA_Beach_PointReyes_Loc03,-122.940551,38.0350203,2023-10-24T00:00:00Z,2023-11-04T00:00:00Z,None,NA,Trail game,Beach Access Game Trail,2045044,0,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc04_Dep01,CA_Beach_PointReyes_Loc04,-122.947321,38.031728,2023-09-05T00:00:00Z,2023-11-04T00:00:00Z,None,NA,Other,Beach,2091304,FDG1,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc05_Dep02,CA_Beach_PointReyes_Loc05,-122.9511409,38.0310886,2023-09-24T00:00:00Z,2023-11-04T00:00:00Z,None,NA,Other,Beach,2045044,0,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc07_Dep01,CA_Beach_PointReyes_Loc07,-122.9712755,38.0216449,2023-09-05T00:00:00Z,2023-11-05T00:00:00Z,None,NA,Trail game,Beach Access Game Trail,2045044,0,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc08_Dep02,CA_Beach_PointReyes_Loc08,-122.9771045,38.0161364,2023-10-24T00:00:00Z,2023-11-05T00:00:00Z,None,NA,Trail game,Beach Access Game Trail,2045044,0,1,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
2006496,CA_Beach_PointReyes_Loc09_Dep01,CA_Beach_PointReyes_Loc09,-122.9813945,38.0103961,2023-09-06T00:00:00Z,2023-11-05T00:00:00Z,None,NA,Other,Beach,2045044,0,0,Camera Functioning,Knee height,NA,Parallel,NA,NA,NA,NA,CA_Beach_Rural_PointReyes_23,NA,NA,NA,NA,NA
